#dataset_name replacement_name
BESTACabinets|BESTACabinet
BESTADisplayCabinets|BESTADisplayCabinet
BESTADoorsandDrawers|BESTADoor_Drawer
BESTAFrames|BESTAFrame
BESTASideboards|BESTASideboard
BESTATVBenches|BESTATVBench
KnobsandHandles|BESTAKnob_Handle
LEDDoorSURTE|BESTADoorSURTE
EKETSystem|EKETSystem
HAVSTASystems|HAVSTASystem
PLATSACombinations|PLATSACombination
GRONLIDSystem|GRONLIDSystem
KUNGSHAMNSystem|KUNGSHAMNSystem
LIDHULTSystem|LIDHULTSystem
SODERHAMNSystem|SODERHAMNSystem
VALENTUNASystem|VALENTUNASystem
VIMLESystem|VILMESystem
Rugs|Rug
SideboardsandConsoleTables|SideboardConsoleTable
ArmChairs|Armchair
CornerSofas|CornerSofa
DELAKTIGSystem|DELAKTIGSystem
FabricChaise|FabricChaise
FootStools|Footstool
OutdoorSofas|OutdoorSofa
SofaAccessoriesandLegs|SofaAccessory_Leg
ArmChairBeds|ArmchairBed
GuestBeds|GuestBed
SofaBedCovers|SofaBedCover
SofaBedMattresses|SofaBedMattress
SofaCovers|SofaCover
Three-SeatedSofas|ThreeSeatedSofa
Two-SeatedSofas|TwoSeatedSofa
TVStandsandMediaUnits|TVStand_MediaUnit
BabyLinen|BabyLinen
STUVAInterior Fitting|STUVAInteriorFitting
childrens-chest-of-drawers|ChildrenChestOfDrawers
childrens-wardrobes|ChildrenWardrobe
toy-storage|ToyStrorage
toy-storage-boxes|ToyStorageBox
#toy-storage
Cots|Cot
CotMatrices|CotMattress
HangingStorage|HangingStorage
WallOrganizer|WallOrganizer
ChildSafety|ChildSafety
ChildrenDuvetCovers|ChildrenDuvetCover
DuvetCovers|DuvetCover
ChildrenSmallChair|ChildrenSmallChair
ChildrenSmallTable|ChildrenSmallTable
PhysicalPlay|PhysicalPlay
RolePlay|RolePlay
Pillows|Pillow
BathroomStoolsandBenches|Stools_Benches
BathroomHighCabinet|HighCabinet
BathroomTrolleys|Trolley
BathroomWallCabinets|WallCabinet
GlassSleves|GlassSelf
ShelfUnits|SelfUnit
ChildrenDuvetCovers|ChildrenDuvetCover
DuvetCovers|DuvetCover
PillowCovers|PillowCover
AdultBeds|AdultBed
BedAccessories|BedAccessory
BedSideTables|BedsideTable
DressingTables|DressingTable
MattrissesPillowProtectors|Mat_PillowProtector
UnderBedStorage|UnderBedStorage
ChairPads|ChairPad
DecorativeLighting|DecorativeLighting
FloorLamps|FloorLamp
SideboardsandBuffets|Sideboard_Buffet
ChestofDrawers|ChestOfDrawers
ClothesandShoesStorage|Clothes_ShoesStorage
DoorMats|DoorMat
#OpenStorageFurniture
#ClothesOrganizer
#FreestandingWardrobes
OpenStorageWordrobes|OpenStorageFurniture
#PAXWardrobes
#PLATSAModularStorageSystem
#BookcasesandShelvingUnits
CableManagementandAccessories|CableManagmentAccessory
DecorativeAccessories|DecorativeAccessory
ArtCards|ArtCard
PictureLedges|PictureLedge
ReadytoHang|ReadyToHang
WallStickers|WallSticker
ArtificialPlants|ArtificialPlant
PlantPots|PlantPot
DeskStools|DeskStool
OfficeChairs|OfficeChair
TableLegas&TableLegasTrestles|TableLeg_Trestle
0months|_0Month
6months|_6Month
12months|_12Month
18months|_18Month
Changing-Table Nursing|ChangingTable_Nursing
ChildrenRugs|ChildrenRug
ClothesOrganizer|Clothe_Organizer
Freestanding Wardrobes|FreestandingWardrobe
Open Storage Wordrobes|OpenStorageWardrobe
PAXWardrobes|PAXWardrobe
PLATSAModular Storage System|PLATSAModularStorageSystem
SofaBeds|SofaBed
Desk Combinations|DeskCombination
TableTops|OfficeDeskTableTop
Clothes Storage Boxes|ClotheStorageBox
Wardrobe hanging storage|WardrobeHangingStorage
Hat & Coat Stands|Hat_CoatStand
Shoes Cabinet|ShoeCabinet
Sofa Beds and Chair Beds|SofaBed_ChairBed
ArmChair Beds|ArmchairBed
Guest Beds|GuestBed
Sofa Bed Covers|SofaBedCover
Sofa Bed Mattresses|SofaBedMattress
Sofa Beds|SofaBed
##################end
